Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGamePPR,FantasyPointsPPR
174,Jared Abbrederis,DET,WR,7,7,3,42.9,44,0,25,6.3,14.7,0,0,0,0,0,0,1.1,7.4
175,Noah Brown,DAL,WR,13,9,4,44.4,33,0,14,3.7,8.2,0,0,0,0,0,0,0.6,7.3
176,Quan Bray,IND,WR,9,4,3,75,39,0,22,9.8,13,0,0,0,0,1,0,0.8,6.9
177,Tanner Gentry,CHI,WR,4,6,3,50,35,0,15,5.8,11.7,0,0,0,0,0,0,1.6,6.5
178,Griff Whalen,BAL,WR,2,6,4,66.7,23,0,9,3.8,5.8,0,0,0,0,0,0,3.2,6.3
179,Vince Mayle,BAL,WR,16,1,0,0,0,0,0,0,0,2,2,1,1,0,0,0.4,6.2
180,Nick Williams,ATL,WR,1,4,3,75,30,0,14,7.5,10,0,0,0,0,0,0,6,6
181,Bernard Reedy,NE,WR,11,2,2,100,21,0,15,10.5,10.5,3,17,5.7,0,1,0,0.5,5.8
182,Ifeanyi Momah,ARI,WR,9,2,1,50,46,0,46,23,46,0,0,0,0,0,0,0.6,5.6
183,Chris Matthews,BAL,WR,6,6,3,50,25,0,12,4.2,8.3,0,0,0,0,0,0,0.9,5.5
184,Jojo Natson,NYJ,WR,7,5,2,40,18,0,19,3.6,9,1,15,15,0,1,0,0.8,5.3
185,Jehu Chesson,KC,WR,12,4,2,50,18,0,10,4.5,9,0,0,0,0,0,0,0.3,3.8
186,Jordan Leslie,CLE,WR,2,1,1,100,26,0,26,26,26,0,0,0,0,0,0,1.8,3.6
187,Deandrew White,HOU,WR,2,7,1,14.3,24,0,24,3.4,24,0,0,0,0,1,0,1.7,3.4
188,Darius Powe,NYG,WR,1,4,2,50,13,0,8,3.2,6.5,0,0,0,0,0,0,3.3,3.3
188,Isaiah McKenzie,DEN,WR,11,13,4,30.8,29,0,14,2.2,7.2,1,4,4,0,6,2,0.3,3.3
190,Jeff Janis,GB,WR,16,5,2,40,12,0,12,2.4,6,0,0,0,0,0,0,0.2,3.2
191,Shelton Gibson,PHI,WR,5,3,2,66.7,11,0,6,3.7,5.5,0,0,0,0,0,0,0.6,3.1
192,Allen Robinson,JAX,WR,1,1,1,100,17,0,17,17,17,0,0,0,0,0,0,2.7,2.7
193,Kevin White,CHI,WR,1,4,2,50,6,0,6,1.5,3,0,0,0,0,0,0,2.6,2.6
194,Arrelious Benn,JAX,WR,9,2,1,50,12,0,12,6,12,0,0,0,0,0,0,0.2,2.2
195,Harry Douglas,TEN,WR,2,3,1,33.3,8,0,8,2.7,8,0,0,0,0,0,0,0.9,1.8
195,Cobi Hamilton,HOU,WR,3,6,1,16.7,8,0,8,1.3,8,0,0,0,0,0,0,0.6,1.8
197,Eric Weems,TEN,WR,16,2,1,50,5,0,5,2.5,5,1,0,0,0,0,0,0.1,1.5
197,Larry Pinkard,JAX,WR,4,1,1,100,5,0,5,5,5,0,0,0,0,0,0,0.4,1.5
199,Maxwell McCaffrey,SF,WR,5,1,1,100,4,0,4,4,4,0,0,0,0,0,0,0.3,1.4
200,Charone Peake,NYJ,WR,3,1,1,100,3,0,3,3,3,0,0,0,0,0,0,0.4,1.3
201,Matt Hazel,CLE,WR,3,1,1,100,1,0,1,1,1,0,0,0,0,0,0,0.4,1.1
202,Andre Roberts,ATL,WR,16,4,1,25,12,0,12,3,12,0,0,0,0,4,1,0,0.2
203,Khalif Raymond,NYG,WR,8,1,1,100,12,0,12,12,12,1,-1,-1,0,5,1,0,0.1
204,Matthew Slater,NE,WR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Dwayne Harris,NYG,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Bradley Marquez,DET,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Cody Core,CIN,WR,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Rashawn Scott,MIA,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Ed Eagan,NYG,WR,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Andy Jones,DET,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Stacy Coley,MIN,WR,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Austin Carr,NO,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Victor Bolden Jr.,SF,WR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Marcus Kemp,KC,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Krishawn Hogan,IND,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
204,Justin Hardee,NO,WR,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Geremy Davis,LAC,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Jace Billingsley,DET,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,David Moore,SEA,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,KJ Brent,IND,WR,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Isaac Whitney,OAK,WR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Robert Davis,WAS,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Mose Frazier,CAR,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Marquis Bundy,NYG,WR,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Lance Lenoir,DAL,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Quincy Adeboyejo,BAL,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,John Ross,CIN,WR,3,2,0,0,0,0,0,0,0,1,12,12,0,1,1,-0.3,-0.8
