Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGamePPR,FantasyPointsPPR
159,Daniel Lasco,NO,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
159,Taniela Tupou,ATL,FB,1,0,0,0,0,0,0,0,0,0,0,0,0
159,Alex Armah,CAR,RB,9,0,0,0,0,0,0,0,0,0,0,0,0
159,Marquez Williams,CLE,FB,1,0,0,0,0,1,0,0,0,0,0,0,0
159,Taquan Mizzell,CHI,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
159,Shane Smith,NYG,FB,11,0,0,0,0,0,0,0,0,0,0,0,0
159,Elijah Hood,OAK,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
159,Terrence Magee,ATL,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
159,Jeremy McNichols,SF,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
159,Jarveon Williams,CIN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
159,Dare Ogunbowale,WAS,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
173,Darren McFadden,DAL,RB,1,1,-2,-2,0,0,0,0,0,0,0,-0.2,-0.2
173,Bronson Hill,ARI,RB,2,1,-2,-2,0,0,0,0,0,0,0,-0.1,-0.2
